Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,14.7,23.1,10,1015.8,66,0,2.3,4.4,14.8
2,14.8,24.5,7.8,1017.3,65,0,1.4,0.9,7.6
3,14.1,23.8,6.8,1017.5,64,0,1.4,4.1,18.3
7,17.4,26.1,10.2,1014.1,51,0,1.9,6.9,18.3
8,16.6,26.8,9.3,1013.1,57,0,2.4,3.1,11.1
9,17,28.1,9,1012.2,64,0,2.3,2.6,11.1
13,18.8,25.6,12.5,1013.5,68,0,1.9,2.8,11.1
14,17.6,25.6,14,1017.8,72,0,2.6,10.4,25.9
15,17.8,24.7,12.8,1018.8,73,0,1.3,1.7,9.4
19,16.1,24.9,11.3,1015.6,50,0,2.6,14.3,25.9
20,14.2,22.7,9.5,1014.5,61,0,1.8,10.4,25.9
21,13.9,22.8,7.6,1016.2,64,0,1.9,3.9,18.3
25,11.2,16.2,7,1016.5,86,0,0.5,4.4,7.6
26,12.1,18.3,9,1016.5,81,0,0.8,4.4,11.1
27,10.8,16.6,8.2,1015.9,86,0,0.6,5.9,11.1
31,9.2,17,5.5,1015.3,84,0,0.8,6.1,14.8
